"year","y","mu_var","sig_var"
1850,-0.633735597133636,-0.436937081813812,-0.436937081813812
1851,-0.479372203350067,-0.31273053586483,-0.31273053586483
1852,0.186391070485115,-0.322385787963867,-0.322385787963867
1853,-0.44199725985527,-0.372489565610886,-0.372489565610886
1854,-0.590556025505066,-0.429051792621613,-0.429051792621613
1855,0.0847747623920441,-0.324901923537254,-0.324901923537254
1856,-0.794038593769073,-0.385244727134705,-0.385244727134705
1857,-0.654450535774231,-0.343786251544952,-0.343786251544952
1858,-0.82362687587738,-0.341299691796303,-0.341299691796303
1859,-0.472310692071915,-0.402600008249283,-0.402600008249283
1860,0.188593611121178,-0.289807920157909,-0.289807920157909
1861,0.624900877475739,-0.259386664628983,-0.259386664628983
1862,-0.351614028215408,-0.240734487771988,-0.240734487771988
1863,-0.597958862781525,-0.351075094938278,-0.351075094938278
1864,-0.275032371282578,-0.298178040981293,-0.298178040981293
1865,0.4915611743927,-0.253944854438305,-0.253944854438305
1866,-0.261983215808868,-0.356942451000214,-0.356942451000214
1867,-0.538056790828705,-0.351272839307785,-0.351272839307785
1868,0.707053601741791,-0.404856848716736,-0.404856848716736
1869,-0.279575020074844,-0.253014016151428,-0.253014016151428
1870,-0.00412032706663013,-0.33683497607708,-0.33683497607708
1871,-1.08476090431213,-0.283379742503166,-0.283379742503166
1872,-0.224726602435112,-0.278731769323349,-0.278731769323349
1873,0.167783379554749,-0.355022531747818,-0.355022531747818
1874,-0.950303196907043,-0.36390643119812,-0.36390643119812
1875,-0.287861973047256,-0.343565183877945,-0.343565183877945
1876,0.0394003689289093,-0.346524986624718,-0.346524986624718
1877,-0.390419483184814,-0.286398783326149,-0.286398783326149
1878,-0.0109294457361102,-0.288987079262733,-0.288987079262733
1879,-1.08470618724823,-0.306053191423416,-0.306053191423416
1880,0.0290209986269474,-0.287521687150002,-0.287521687150002
1881,0.499330788850784,-0.264275908470154,-0.264275908470154
1882,0.173353254795074,-0.234133297950029,-0.234133297950029
1883,0.182896330952644,-0.26849576830864,-0.26849576830864
1884,-0.794003486633301,-0.834349513053894,-0.834349513053894
1885,-0.614037752151489,-0.664001989364624,-0.664001989364624
1886,-0.295170068740845,-0.526287013292313,-0.526287013292313
1887,-0.121450558304787,-0.440707397460938,-0.440707397460938
1888,-0.638714611530304,-0.297193643450737,-0.297193643450737
1889,0.400676608085632,-0.305781869590282,-0.305781869590282
1890,0.171837523579597,-0.46789363026619,-0.46789363026619
1891,-0.671950578689575,-0.49254794716835,-0.49254794716835
1892,-0.289646297693253,-0.418509593605995,-0.418509593605995
1893,0.592711806297302,-0.358694949746132,-0.358694949746132
1894,-0.126652762293816,-0.303135764598846,-0.303135764598846
1895,0.289132088422775,-0.289555963873863,-0.289555963873863
1896,-0.79404228925705,-0.241169402003288,-0.241169402003288
1897,-0.158573418855667,-0.239365689456463,-0.239365689456463
1898,0.412359982728958,-0.176860590279102,-0.176860590279102
1899,-0.925819218158722,-0.245832157507539,-0.245832157507539
1900,-0.264746218919754,-0.243154248595238,-0.243154248595238
1901,-0.0435925759375095,-0.24512709453702,-0.24512709453702
1902,0.143762588500977,-0.227091288566589,-0.227091288566589
1903,-0.653816342353821,-0.575918662548065,-0.575918662548065
1904,-0.594887614250183,-0.534589838981628,-0.534589838981628
1905,0.078607976436615,-0.426726853847504,-0.426726853847504
1906,0.380944848060608,-0.367776745557785,-0.367776745557785
1907,-0.374167621135712,-0.378059381246567,-0.378059381246567
1908,0.70175689458847,-0.312027531303465,-0.312027531303465
1909,-0.304453432559967,-0.27509882748127,-0.27509882748127
1910,-0.463586926460266,-0.296547693200409,-0.296547693200409
1911,-0.330740511417389,-0.331300181150436,-0.331300181150436
1912,-0.416762232780457,-0.381681942939758,-0.381681942939758
1913,-0.417535781860352,-0.468835037946701,-0.468835037946701
1914,0.104175567626953,-0.338312858343124,-0.338312858343124
1915,0.388924688100815,-0.29242459833622,-0.29242459833622
1916,-0.735452830791473,-0.248353165388107,-0.248353165388107
1917,0.685145854949951,-0.197193521261215,-0.197193521261215
1918,-0.793373584747314,-0.227393686771393,-0.227393686771393
1919,0.140577435493469,-0.253436613082886,-0.253436613082886
1920,0.133847415447235,-0.105952289002016,-0.105952289002016
1921,-0.421757161617279,-0.148703049984761,-0.148703049984761
1922,-0.414475172758102,-0.152130043040961,-0.152130043040961
1923,-0.467814147472382,-0.192081298679113,-0.192081298679113
1924,-0.528169572353363,-0.251180410385132,-0.251180410385132
1925,-0.183397367596626,-0.17673559859395,-0.17673559859395
1926,0.0198848471045494,-0.104485687799752,-0.104485687799752
1927,0.170475974678993,-0.181216710805893,-0.181216710805893
